level,QRCode,Phase,Message
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级指令超时，未收到响应
error,12001,完成,[12001] 固件升级失败: [固件升级] 执行状态: PrepareCmdFinished - 不响应固件升级准备升级指令
info,12001,准备阶段,[固件升级] 准备阶段开始，文件: C:/Users/Lenovo/Desktop/OHB/OHB_V_1_0_APP.bin
info,12001,准备阶段,[固件升级] 发送准备升级指令: 01 06 00 AA 00 00 A9 EA
info,12001,准备阶段,[固件升级] 准备升级响应成功: 01 06 00 AA 00 00 A9 EA
info,12001,等待设备,[固件升级] 等待设备准备就绪 1000 ms
info,12001,等待设备,[固件升级] 设备等待完毕（1000 ms），开始数据传输
info,12001,数据传输,[固件升级] 发送第一帧（256 字节，数据区 248 字节）
trace,12001,数据帧,01 06 00 BB 7C 8E 55 AA 60 94 00 20 61 02 0C 08 59 3D 0C 08 B5 35 0C 08 1D 3D 0C 08 7D 0A 0C 08
trace,12001,数据帧,65 5C 0C 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A1 01 0C 08 BB 0B 0C 08 00 00 00 00
trace,12001,数据帧,FD 01 0C 08 C3 50 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
trace,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 81 0A 0C 08 91 0A 0C 08
trace,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
trace,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 D5 51 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
trace,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 45 5B 0C 08
trace,12001,数据帧,7B 02 0C 08 A5 5B 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
info,12001,数据传输,[固件升级] 发送数据帧 2/125（256 字节）
trace,12001,数据帧,7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 D1 54 0C 08 7B 02 0C 08
trace,12001,数据帧,E5 51 0C 08 7B 02 0C 08 A1 0A 0C 08 B1 0A 0C 08 C1 0A 0C 08 7B 02 0C 08 7B 02 0C 08 00 00 00 00
trace,12001,数据帧,00 00 00 00 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
trace,12001,数据帧,7B 02 0C 08 05 5C 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08 7B 02 0C 08
trace,12001,数据帧,00 00 00 00 00 00 00 00 7B 02 0C 08 7B 02 0C 08 DF F8 10 D0 00 F0 3C FB 00 48 00 47 C5 5E 0C 08
trace,12001,数据帧,AF F3 00 80 60 94 00 20 2C 4B 19 68 08 68 B0 E8 F0 4F 80 F3 09 88 BF F3 6F 8F 4F F0 00 00 80 F3
trace,12001,数据帧,11 88 70 47 00 00 00 00 08 48 00 68 00 68 80 F3 08 88 4F F0 00 00 80 F3 14 88 62 B6 61 B6 BF F3
trace,12001,数据帧,4F 8F BF F3 6F 8F 00 DF 00 BF 00 BF 08 ED 00 E0 DF F8 0C 00 01 68 41 F4 70 01 01 60 70 47 00 BF
info,12001,数据传输,[固件升级] 发送数据帧 3/125（256 字节）
trace,12001,数据帧,88 ED 00 E0 EF F3 09 80 BF F3 6F 8F 13 4B 1A 68 1E F0 10 0F 08 BF 20 ED 10 8A 20 E9 F0 4F 10 60
trace,12001,数据帧,09 B4 4F F0 50 00 80 F3 11 88 BF F3 4F 8F BF F3 6F 8F 06 F0 01 FE 4F F0 00 00 80 F3 11 88 09 BC
trace,12001,数据帧,19 68 08 68 B0 E8 F0 4F 1E F0 10 0F 08 BF B0 EC 10 8A 80 F3 09 88 BF F3 6F 8F 70 47 08 01 00 20
trace,12001,数据帧,EF F3 05 80 70 47 00 00 06 48 80 47 06 48 00 47 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7 FE E7
trace,12001,数据帧,FE E7 FE E7 B9 51 0C 08 89 01 0C 08 2D E9 F0 5F 05 46 00 20 92 46 9B 46 88 46 06 46 81 46 40 24
trace,12001,数据帧,1B E0 28 46 41 46 47 46 22 46 00 F0 32 FA 53 46 5A 46 C0 1A 91 41 10 D3 11 46 18 46 22 46 00 F0
trace,12001,数据帧,19 FA 2D 1A 67 EB 01 08 4F 46 22 46 01 20 00 21 00 F0 10 FA 17 EB 00 09 4E 41 20 1E A4 F1 01 04
trace,12001,数据帧,DF DC 48 46 31 46 2A 46 43 46 BD E8 F0 9F 40 EA 01 03 9B 07 03 D0 09 E0 08 C9 12 1F 08 C0 04 2A
info,12001,数据传输,[固件升级] 发送数据帧 4/125（256 字节）
trace,12001,数据帧,FA D2 03 E0 11 F8 01 3B 00 F8 01 3B 52 1E F9 D2 70 47 D2 B2 01 E0 00 F8 01 2B 49 1E FB D2 70 47
trace,12001,数据帧,00 22 F6 E7 10 B5 13 46 0A 46 04 46 19 46 FF F7 F0 FF 20 46 10 BD 2D E9 FE 4F 80 46 81 EA 03 00
trace,12001,数据帧,C0 0F 0C 46 00 90 21 F0 00 41 23 F0 00 45 B8 EB 02 00 A9 41 05 D2 40 46 21 46 90 46 1C 46 0B 46
trace,12001,数据帧,02 46 23 F0 00 40 10 43 47 D0 27 0D C7 F3 0A 00 C3 F3 0A 51 02 90 40 1A 01 90 40 28 6B DA C3 F3
trace,12001,数据帧,13 00 40 F4 80 1B 00 98 92 46 20 B1 00 23 D2 EB 03 0A 63 EB 0B 0B 01 98 59 46 C0 F1 40 02 50 46
trace,12001,数据帧,00 F0 A8 F9 06 46 0D 46 50 46 59 46 01 9A 00 F0 C0 F9 10 EB 08 00 61 41 00 24 87 EA 11 52 84 EA
trace,12001,数据帧,E7 73 1A 43 40 D0 00 9A 62 B3 01 9A 01 2A 4F EA 07 52 15 DC 00 1B 61 EB 02 01 4F F0 00 42 02 EA
trace,12001,数据帧,07 52 CD E9 00 42 00 1C 41 F5 80 11 32 46 2B 46 00 F0 C0 F9 03 B0 BD E8 F0 8F 40 46 21 46 F9 E7
info,12001,数据传输,[固件升级] 发送数据帧 5/125（256 字节）
trace,12001,数据帧,00 1B 61 EB 02 01 00 1C 41 F5 80 13 00 18 5B 41 20 18 A2 F5 00 17 47 EB 03 01 40 EA D5 70 B6 19
trace,12001,数据帧,6D 41 11 E0 6D 08 4F EA 36 06 45 EA C0 75 4F EA 07 52 00 1B 61 EB 02 01 00 1C 41 F5 80 11 49 08
trace,12001,数据帧,4F EA 30 00 00 19 51 41 32 46 2B 46 03 B0 BD E8 F0 4F 00 F0 80 B9 00 98 01 22 40 00 00 23 D0 EB
trace,12001,数据帧,02 02 63 EB E0 73 00 98 21 46 4F EA E0 74 B8 EB 00 00 61 EB 04 01 E9 E7 83 F0 00 43 5B E7 81 F0
trace,12001,数据帧,00 41 58 E7 2D E9 FE 4F 81 EA 03 04 04 F0 00 44 21 F0 00 41 00 94 4F F0 00 0B 23 F0 00 43 50 EA
trace,12001,数据帧,01 04 5E D0 52 EA 03 04 5B D0 C3 F3 0A 54 C1 F3 0A 55 2C 44 A4 F2 F3 34 01 94 A0 FB 02 54 C1 F3
trace,12001,数据帧,13 01 41 F4 80 11 C3 F3 13 03 43 F4 80 13 01 FB 02 44 00 FB 03 4E 84 0A 97 0A 44 EA 81 54 47 EA
trace,12001,数据帧,83 57 A4 FB 07 68 02 95 8D 0A 05 FB 07 85 4F EA 93 2C 04 FB 0C 54 27 05 02 9D 4F EA 06 58 47 EA
info,12001,数据传输,[固件升级] 发送数据帧 6/125（256 字节）
trace,12001,数据帧,16 37 B5 EB 08 05 6E EB 07 0C 87 0E 92 0E 47 EA 81 17 42 EA 83 12 A7 FB 02 01 B6 EB 0B 01 64 EB
trace,12001,数据帧,00 04 2B 0D 43 EA 0C 33 5E 18 44 EB 1C 50 DA 46 51 46 E7 FB 02 01 C5 F3 13 04 4F EA 0B 33 43 EA
trace,12001,数据帧,14 53 4F EA 04 32 01 9C 43 EA 06 03 A4 F1 0C 04 02 94 00 9C CD E9 00 B4 00 F0 0C F9 03 B0 BD E8
trace,12001,数据帧,F0 8F 00 20 01 46 F9 E7 2D E9 F0 4D 81 EA 03 04 04 F0 00 4B 21 F0 00 45 14 46 4F F0 00 0A 23 F0
trace,12001,数据帧,00 41 50 EA 05 02 20 D0 54 EA 01 02 1D D0 C5 F3 0A 57 02 46 C5 F3 13 03 C1 F3 13 00 C1 F3 0A 56
trace,12001,数据帧,40 F4 80 15 43 F4 80 13 A7 EB 06 08 10 1B D6 46 08 F2 FD 38 73 EB 05 00 02 D3 08 F1 01 08 01 E0
trace,12001,数据帧,92 18 5B 41 B8 F1 00 0F 03 DA 00 20 01 46 BD E8 F0 8D 00 20 4F F4 80 11 06 46 84 46 0E E0 17 1B
trace,12001,数据帧,73 EB 05 07 05 D3 12 1B 63 EB 05 03 06 43 4C EA 01 0C 49 08 4F EA 30 00 92 18 5B 41 50 EA 01 07
info,12001,数据传输,[固件升级] 发送数据帧 7/125（256 字节）
trace,12001,数据帧,ED D1 52 EA 03 00 12 D0 82 EA 04 00 83 EA 05 01 08 43 05 D0 10 1B AB 41 06 D2 01 22 00 23 06 E0
trace,12001,数据帧,00 22 4F F0 00 43 02 E0 6F F0 01 02 53 10 1A EB 06 00 4C EB 08 51 10 EB 0A 00 41 EB 0B 01 BD E8
trace,12001,数据帧,F0 4D 00 F0 88 B8 0E B5 40 F2 33 41 02 91 00 21 CD E9 00 11 0A 46 0B 46 00 F0 8C F8 03 B0 00 BD
trace,12001,数据帧,C1 F3 0A 52 10 B5 C1 F3 13 01 40 F2 FF 33 41 F4 80 11 9A 42 01 DA 00 20 10 BD 40 F2 33 43 9A 42
trace,12001,数据帧,A2 F2 33 42 03 DC 52 42 00 F0 43 F8 10 BD 90 40 10 BD 00 00 30 B5 04 1E 71 F1 00 04 04 DB 4F F0
trace,12001,数据帧,00 44 40 42 64 EB 01 01 14 1E 73 F1 00 04 05 DB 1C 46 4F F0 00 43 52 42 63 EB 04 03 8B 42 08 BF
trace,12001,数据帧,82 42 30 BD 30 B5 04 1E 71 F1 00 04 04 DB 4F F0 00 44 40 42 64 EB 01 01 14 1E 73 F1 00 04 05 DB
trace,12001,数据帧,1C 46 4F F0 00 43 52 42 63 EB 04 03 99 42 08 BF 90 42 30 BD 20 2A 04 DB 20 3A 00 FA 02 F1 00 20
info,12001,数据传输,[固件升级] 发送数据帧 8/125（256 字节）
trace,12001,数据帧,70 47 91 40 C2 F1 20 03 20 FA 03 F3 19 43 90 40 70 47 20 2A 04 DB 20 3A 21 FA 02 F0 00 21 70 47
trace,12001,数据帧,21 FA 02 F3 D0 40 C2 F1 20 02 91 40 08 43 19 46 70 47 20 2A 06 DB CB 17 20 3A 41 FA 02 F0 43 EA
trace,12001,数据帧,E0 73 06 E0 41 FA 02 F3 D0 40 C2 F1 20 02 91 40 08 43 19 46 70 47 10 B5 14 1E 73 F1 00 04 08 DA
trace,12001,数据帧,40 1C 41 F1 00 01 92 18 5B 41 1A 43 01 D1 20 F0 01 00 10 BD 2D E9 F0 4D 92 46 9B 46 11 B1 B1 FA
trace,12001,数据帧,81 F2 02 E0 B0 FA 80 F2 20 32 90 46 FF F7 B2 FF 04 46 0F 46 40 EA 0A 00 41 EA 0B 01 53 46 5A 46
trace,12001,数据帧,08 43 13 D0 11 46 53 EA 01 00 19 D0 C8 F1 40 02 50 46 FF F7 AE FF 05 46 0E 46 50 46 59 46 42 46
trace,12001,数据帧,FF F7 98 FF 08 43 05 D0 01 20 04 E0 20 46 39 46 BD E8 F0 8D 00 20 05 43 46 EA E0 76 2C 43 37 43
trace,12001,数据帧,0A 98 63 05 E4 0A A0 EB 08 00 00 22 FD 0A 44 EA 47 54 0A 30 02 D5 00 20 01 46 E9 E7 01 05 10 19
info,12001,数据传输,[固件升级] 发送数据帧 9/125（256 字节）
trace,12001,数据帧,69 41 DD E9 08 45 00 19 69 41 BD E8 F0 4D A2 E7 06 4C 07 4D 06 E0 E0 68 40 F0 01 03 94 E8 07 00
trace,12001,数据帧,98 47 10 34 AC 42 F6 D3 FF F7 B6 FC 2C 7C 0C 08 4C 7C 0C 08 70 B5 8C 18 10 F8 01 5B 15 F0 07 03
trace,12001,数据帧,01 D1 10 F8 01 3B 2A 11 06 D1 10 F8 01 2B 03 E0 10 F8 01 6B 01 F8 01 6B 5B 1E F9 D1 2B 07 05 D4
trace,12001,数据帧,00 23 52 1E 0D D4 01 F8 01 3B FA E7 10 F8 01 3B CB 1A 92 1C 03 E0 13 F8 01 5B 01 F8 01 5B 52 1E
trace,12001,数据帧,F9 D5 A1 42 D8 D3 00 20 70 BD 10 B5 02 46 90 6B 01 6C 11 F0 50 0F 06 D0 01 6C 11 F0 10 0F 28 D0
trace,12001,数据帧,00 F0 96 FE 10 BD 01 6C 41 F4 00 71 01 64 01 68 8A 68 12 F0 40 5F 19 D1 02 7E BA B9 CA 6A 12 F4
trace,12001,数据帧,70 0F 03 D0 8A 68 12 F4 80 6F 0F D1 4A 68 22 F0 20 02 4A 60 01 6C 21 F4 80 71 01 64 01 6C 11 F4
trace,12001,数据帧,80 5F 03 D1 01 6C 41 F0 01 01 01 64 00 F0 6E FE 10 BD 80 6B C1 6C BD E8 10 40 10 46 08 47 10 B5
info,12001,数据传输,[固件升级] 发送数据帧 10/125（256 字节）
trace,12001,数据帧,80 6B 40 21 01 64 41 6C 41 F0 04 01 41 64 00 F0 5F FE 10 BD 10 B5 80 6B 00 F0 59 FE 10 BD 00 00
trace,12001,数据帧,4A 49 4A 68 22 F4 40 32 4A 60 4A 68 43 68 1A 43 4A 60 01 68 4A 68 22 F4 80 72 4A 60 01 68 4A 68
trace,12001,数据帧,03 69 42 EA 03 22 4A 60 01 68 4A 68 22 F0 40 72 4A 60 01 68 4A 68 83 68 1A 43 4A 60 01 68 8A 68
trace,12001,数据帧,22 F4 00 62 8A 60 01 68 8A 68 C3 68 1A 43 8A 60 81 6A 6F F0 70 62 D1 42 14 D0 01 68 8A 68 22 F0
trace,12001,数据帧,70 62 8A 60 01 68 8A 68 83 6A 1A 43 8A 60 01 68 8A 68 22 F0 40 52 8A 60 01 68 8A 68 C3 6A 1A 43
trace,12001,数据帧,8A 60 09 E0 01 68 8A 68 22 F0 70 62 8A 60 01 68 8A 68 22 F0 40 52 8A 60 01 68 8A 68 22 F0 02 02
trace,12001,数据帧,8A 60 01 68 8A 68 03 7E 42 EA 43 02 8A 60 90 F8 20 10 89 B1 01 68 4A 68 42 F4 00 62 4A 60 01 68
trace,12001,数据帧,4A 68 22 F4 60 42 4A 60 01 68 4A 68 43 6A 5B 1E 42 EA 43 32 4A 60 04 E0 01 68 4A 68 22 F4 00 62
info,12001,数据传输,[固件升级] 发送数据帧 11/125（256 字节）
trace,12001,数据帧,4A 60 01 68 CA 6A 22 F4 70 02 CA 62 01 68 CA 6A 83 8B 5B 1E 42 EA 03 52 CA 62 01 68 8A 68 22 F4
trace,12001,数据帧,00 72 8A 60 01 68 8A 68 90 F8 30 30 42 EA 43 22 8A 60 01 68 8A 68 22 F4 80 62 8A 60 01 68 8A 68
trace,12001,数据帧,40 69 42 EA 80 20 88 60 70 47 00 00 00 23 01 40 10 B5 04 46 01 F0 96 F9 02 21 03 20 00 F0 B4 F8
trace,12001,数据帧,0A 20 01 F0 31 F9 22 46 00 23 05 49 18 46 01 F0 49 F9 0A 20 01 F0 28 F9 01 F0 3A F9 10 BD 00 00
trace,12001,数据帧,00 C0 00 08 00 BF FE E7 10 B5 02 48 00 F0 5C FF 10 BD 00 00 58 46 00 20 10 B5 02 48 00 F0 54 FF
trace,12001,数据帧,10 BD 00 00 98 45 00 20 10 B5 02 48 00 F0 4C FF 10 BD 00 00 A8 42 00 20 10 B5 02 48 00 F0 44 FF
trace,12001,数据帧,10 BD 00 00 B8 46 00 20 10 B5 02 48 00 F0 3C FF 10 BD 00 00 F8 45 00 20 01 68 0A 4B CA B2 10 3A
trace,12001,数据帧,A3 FB 02 32 12 09 08 4B 9B 5C C3 65 03 2A 04 D9 6F F3 09 01 09 1D 81 65 02 E0 6F F3 09 01 81 65
info,12001,数据传输,[固件升级] 发送数据帧 12/125（256 字节）
trace,12001,数据帧,80 6D 70 47 AB AA AA AA F4 7B 0C 08 01 46 00 20 8A 6A 8B 69 00 2B 0F D0 B3 F5 00 5F 1D D0 8A B3
trace,12001,数据帧,01 2A 30 D0 02 2A 2E D0 03 2A 04 D1 C9 6A 11 F0 80 7F 00 D0 01 20 70 47 1A B1 01 2A 07 D0 02 2A
trace,12001,数据帧,F9 D1 C9 6A 11 F0 80 7F F5 D0 01 20 70 47 C9 6A B1 F1 C0 7F FA D1 01 20 70 47 5A B1 01 2A 0B D0
trace,12001,数据帧,02 2A 07 D0 03 2A F7 D1 C9 6A B1 F1 C0 7F F3 D1 01 20 70 47 01 20 70 47 C9 6A 11 F0 80 7F FA D0
trace,12001,数据帧,01 20 70 47 FF E7 01 20 70 47 10 B4 D0 F8 00 C0 DC F8 00 40 24 F4 80 24 CC F8 00 40 D0 F8 00 C0
trace,12001,数据帧,CC F8 04 30 83 68 40 2B 05 D0 03 68 99 60 00 68 C2 60 10 BC 70 47 03 68 9A 60 00 68 C1 60 10 BC
trace,12001,数据帧,70 47 70 47 70 47 00 00 00 22 00 29 05 D0 01 29 1A D0 02 29 1B D0 4F F4 40 72 0E 49 0B 68 23 F4
trace,12001,数据帧,40 73 0B 60 0B 68 1A 43 0A 60 0A 68 22 F0 F8 02 0A 60 0A 68 02 23 43 EA C0 00 10 43 08 60 08 68
info,12001,数据传输,[固件升级] 发送数据帧 13/125（256 字节）
trace,12001,数据帧,40 F4 80 30 08 60 70 47 4F F4 80 72 E5 E7 4F F4 00 72 E2 E7 10 3C 02 40 06 4A 13 68 23 F4 40 73
trace,12001,数据帧,13 60 13 68 13 60 13 68 43 F0 01 03 13 60 01 70 70 47 00 00 10 3C 02 40 0B 49 D1 F8 00 C0 2C F4
trace,12001,数据帧,40 7C C1 F8 00 C0 D1 F8 00 C0 4C F4 40 7C C1 F8 00 C0 D1 F8 00 C0 4C F0 01 0C C1 F8 00 C0 02 60
trace,12001,数据帧,BF F3 6F 8F 43 60 70 47 10 3C 02 40 07 4A 13 68 23 F4 40 73 13 60 13 68 43 F4 80 73 13 60 13 68
trace,12001,数据帧,43 F0 01 03 13 60 01 80 70 47 00 00 10 3C 02 40 07 4A 13 68 23 F4 40 73 13 60 13 68 43 F4 00 73
trace,12001,数据帧,13 60 13 68 43 F0 01 03 13 60 01 60 70 47 00 00 10 3C 02 40 1A 49 08 68 10 F0 10 0F 19 48 05 D0
trace,12001,数据帧,C2 69 42 F0 10 02 C2 61 10 22 0A 60 0A 68 12 F0 20 0F 05 D0 C2 69 42 F0 08 02 C2 61 20 22 0A 60
trace,12001,数据帧,0A 68 12 F0 40 0F 05 D0 C2 69 42 F0 04 02 C2 61 40 22 0A 60 0A 68 12 F0 80 0F 05 D0 C2 69 42 F0
info,12001,数据传输,[固件升级] 发送数据帧 14/125（256 字节）
trace,12001,数据帧,02 02 C2 61 80 22 0A 60 0A 68 12 F0 02 0F 05 D0 C2 69 42 F0 20 02 C2 61 02 20 08 60 70 47 00 00
trace,12001,数据帧,0C 3C 02 40 6C 47 00 20 70 B5 04 46 14 49 00 20 C8 61 01 F0 67 F9 06 46 12 4D 28 68 10 F4 80 3F
trace,12001,数据帧,0E D0 B4 F1 FF 3F 07 D0 24 B1 01 F0 5B F9 80 1B A0 42 01 D9 03 20 70 BD 28 68 10 F4 80 3F F0 D1
trace,12001,数据帧,28 68 10 F0 01 0F 01 D0 01 20 28 60 28 68 10 F0 F2 0F 03 D0 FF F7 9E FF 01 20 70 BD 00 20 70 BD
trace,12001,数据帧,6C 47 00 20 0C 3C 02 40 10 B5 02 20 04 F0 60 F8 02 20 01 49 08 70 10 BD D2 00 00 20 10 B5 01 20
trace,12001,数据帧,04 F0 56 F8 01 20 01 49 08 70 10 BD D2 00 00 20 7C B5 05 46 00 24 00 26 00 BF 01 22 20 46 64 1C
trace,12001,数据帧,0D F8 00 20 06 22 20 46 64 1C 0D F8 00 20 28 46 E9 17 05 EB 11 61 C1 F3 07 23 21 46 64 1C 0D F8
trace,12001,数据帧,01 30 E9 17 05 EB 11 61 09 12 A5 EB 01 21 CB B2 21 46 64 1C 0D F8 01 30 00 22 20 46 64 1C 0D F8
info,12001,数据传输,[固件升级] 发送数据帧 15/125（256 字节）
trace,12001,数据帧,00 20 20 46 64 1C 0D F8 00 20 21 46 68 46 02 F0 8B FF 06 46 F2 B2 20 46 64 1C 0D F8 00 20 32 12
trace,12001,数据帧,20 46 64 1C 0D F8 00 20 22 46 69 46 03 48 02 F0 8C FB 05 20 00 F0 48 FF 7C BD 00 00 88 44 00 20
trace,12001,数据帧,7C B5 05 46 00 24 00 26 00 BF 01 22 20 46 64 1C 0D F8 00 20 06 22 20 46 64 1C 0D F8 00 20 28 46
trace,12001,数据帧,E9 17 05 EB 11 61 C1 F3 07 23 21 46 64 1C 0D F8 01 30 E9 17 05 EB 11 61 09 12 A5 EB 01 21 CB B2
trace,12001,数据帧,21 46 64 1C 0D F8 01 30 00 22 20 46 64 1C 0D F8 00 20 20 46 64 1C 0D F8 00 20 A0 1E 81 B2 0D F1
trace,12001,数据帧,02 00 02 F0 41 FF 06 46 F2 B2 20 46 64 1C 0D F8 00 20 32 12 20 46 64 1C 0D F8 00 20 22 46 69 46
trace,12001,数据帧,03 48 02 F0 42 FB 05 20 00 F0 FE FE 7C BD 00 00 88 44 00 20 10 B5 00 20 FE 49 08 70 FE 48 C0 78
trace,12001,数据帧,C0 F3 80 10 00 28 7D D0 FB 48 C0 78 20 F0 40 00 F9 49 C8 70 01 21 F7 48 02 78 00 78 40 1C F5 4B
info,12001,数据传输,[固件升级] 发送数据帧 16/125（256 字节）
trace,12001,数据帧,18 70 F6 48 81 54 04 21 18 46 02 78 00 78 40 1C 18 70 F2 48 81 54 1A 22 18 46 01 78 00 78 40 1C
trace,12001,数据帧,18 70 EE 48 42 54 00 21 18 46 02 78 00 78 40 1C 18 70 EA 48 81 54 EA 48 00 78 E7 49 49 78 C1 F3
trace,12001,数据帧,80 01 08 43 19 46 0A 78 09 78 49 1C 19 70 E3 49 88 54 00 22 18 46 01 78 00 78 40 1C 18 70 DF 48
trace,12001,数据帧,42 54 DF 48 82 78 18 46 01 78 00 78 40 1C 18 70 DA 48 42 54 00 22 18 46 01 78 00 78 40 1C 18 70
trace,12001,数据帧,D6 48 42 54 D6 48 41 7D 18 46 02 78 00 78 40 1C 18 70 D2 48 81 54 00 21 18 46 02 78 00 78 40 1C
trace,12001,数据帧,18 70 CE 48 81 54 CE 48 01 7D 18 46 02 78 00 78 40 1C 18 70 C9 48 81 54 00 22 18 46 01 78 00 78
trace,12001,数据帧,40 1C 18 70 C5 48 42 54 C5 48 41 78 18 46 02 78 00 78 40 1C 18 70 C1 48 81 54 C1 48 02 7C 18 46
trace,12001,数据帧,01 78 00 E0 AB E0 00 78 40 1C 18 70 BB 48 42 54 BB 48 41 7C 18 46 02 78 00 78 40 1C 18 70 B7 48
info,12001,数据传输,[固件升级] 发送数据帧 17/125（256 字节）
trace,12001,数据帧,81 54 B7 48 82 7C 18 46 01 78 00 78 40 1C 18 70 B2 48 42 54 B2 48 C1 7C 18 46 02 78 00 78 40 1C
trace,12001,数据帧,18 70 AE 48 81 54 AE 48 C1 78 18 46 02 78 00 78 40 1C 18 70 A9 48 81 54 A9 48 01 79 18 46 02 78
trace,12001,数据帧,00 78 40 1C 18 70 A5 48 81 54 A5 48 90 F8 40 10 18 46 02 78 00 78 40 1C 18 70 A0 48 81 54 A0 48
trace,12001,数据帧,90 F8 41 10 18 46 02 78 00 78 40 1C 18 70 9B 48 81 54 9B 48 90 F8 42 10 18 46 02 78 00 78 40 1C
trace,12001,数据帧,18 70 96 48 81 54 96 48 90 F8 43 10 18 46 02 78 00 78 40 1C 18 70 91 48 81 54 91 48 01 7A 18 46
trace,12001,数据帧,02 78 00 78 40 1C 18 70 8C 48 81 54 8C 48 41 7A 18 46 02 78 00 78 40 1C 18 70 88 48 81 54 88 48
trace,12001,数据帧,81 7B 18 46 02 78 00 78 40 1C 18 70 83 48 81 54 83 48 C2 7B 18 46 01 78 00 78 40 1C 18 70 7F 48
trace,12001,数据帧,42 54 7F 48 02 7B 18 46 01 78 00 78 40 1C 18 70 7A 48 42 54 7A 48 42 7B 18 46 01 78 00 78 40 1C
info,12001,数据传输,[固件升级] 发送数据帧 18/125（256 字节）
